stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd,,,,,,,,stid,name,city,nlat,elon,elev,LAT_A_Field ,LONG_A_Field ,LAT_B_Field ,LONG_B_Field ,Distance_A _field(km),Distance_B_ field(km),Rank_A,Rank_B,,,
139,ELKC,Elk City,Elk City,5,S,Beckham,35.333564,-99.393881,584,West Central,STANDARD,0.053,0.385,0.123,1.36,1.44,0,48.7,35.5,15.8,Loam,0.053,0.379,0.168,1.36,0.063,0.409,0.181,1.36,1.35,0,38.5,34.7,26.8,Loam,0.07,0.385,0.197,1.36,1.49,0.1,43.5,29,27.4,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20150610,20991231,,,,,,,,ELKC,Elk City,Elk City,35.333564,-99.393881,584,35.56752,-98.5444,35.149586,-98.468069,81.22532321,86.53100634,16,17,,,
34,ELRE,El Reno,El Reno,5,WNW,Canadian,35.54848,-98.03654,419,Central,STANDARD,0.091,0.437,0.012,2.06,1.32,0,16.3,60.9,22.8,Silt Loam,0.085,0.426,0.016,1.88,0.07,0.396,0.053,1.45,1.43,0,11.6,59.8,28.6,Silty Clay Loam,0.118,0.384,0.107,1.21,1.62,0,9.2,47.7,43.2,Silty Clay,0.182,0.433,0.111,2.14,-999,0,5.3,44.1,50.6,Silty Clay,19940101,20991231,,,,,,,,ELRE,El Reno,El Reno,35.54848,-98.03654,419,35.56752,-98.5444,35.149586,-98.468069,45.98977473,59.15322641,4,11,,,
35,ERIC,Erick,Erick,4,ESE,Beckham,35.20494,-99.80344,603,West Central,STANDARD,0.038,0.376,0.281,1.45,1.43,0.1,63.5,22.6,13.8,Sandy Loam,0.038,0.374,0.254,1.42,0.04,0.369,0.19,1.38,1.46,0,57.4,26.3,16.3,Sandy Loam,0.059,0.383,0.119,1.35,1.47,0,42.2,33.9,23.9,Loam,0.069,0.378,0.074,1.35,1.53,0,37.6,35.3,27.1,Clay Loam,19940101,20991231,,,,,,,,ERIC,Erick,Erick,35.20494,-99.80344,603,35.56752,-98.5444,35.149586,-98.468069,121.046723,121.5239779,38,38,,,
36,EUFA,Eufaula,Eufaula,4,WNW,McIntosh,35.30324,-95.65707,200,East Central,STANDARD,0.066,0.368,0.02,1.71,1.62,0,36,53.2,10.8,Silt Loam,0.077,0.374,0.023,1.54,0.113,0.391,0.052,1.21,1.63,0,19.8,40,40.2,Silty Clay,0.098,0.333,0.063,1.29,1.78,0,19.3,52.5,28.2,Silty Clay Loam,0.102,0.331,0.058,1.29,1.8,0,14.1,56.4,29.5,Silty Clay Loam,19940101,20991231,,,,,,,,EUFA,Eufaula,Eufaula,35.30324,-95.65707,200,35.56752,-98.5444,35.149586,-98.468069,263.2227769,255.8932473,105,101,,,
141,EVAX,Eva,Eva,12,NE,Texas,36.921853,-101.78158,1065,Panhandle,STANDARD,0.078,0.435,0.137,1.33,1.29,0,23.4,52,24.6,Silt Loam,0.069,0.466,0.214,1.37,0.082,0.408,0.123,1.32,1.43,0,24,51.4,24.6,Silt Loam,0.136,0.391,0.171,1.23,1.59,0,21,38.2,40.8,Clay,0.109,0.365,0.063,1.19,1.71,0,22.4,41.1,36.5,Clay Loam,20160517,20991231,,,,,,,,EVAX,Eva,Eva,36.921853,-101.78158,1065,35.56752,-98.5444,35.149586,-98.468069,327.0141871,357.1820314,129,137,,,
145,FAI2,Fairview,Fairview,5,NW,Major,36.31719,-98.55225,406,North Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20231115,20991231,,,,,,,,FAI2,Fairview,Fairview,36.31719,-98.55225,406,35.56752,-98.5444,35.149586,-98.468069,83.36249602,130.0537752,19,44,,,
37,FAIR,Fairview,Fairview,1,W,Major,36.26353,-98.49766,405,North Central,STANDARD,0.053,0.394,0.103,1.4,1.34,0,18.6,51.7,29.8,Silty Clay Loam,0.057,0.394,0.093,1.4,0.067,0.394,0.069,1.4,1.42,0,17.8,47.8,34.4,Silty Clay Loam,0.087,0.4,0.103,1.3,1.47,0,13,43.5,43.5,Silty Clay,0.104,0.357,0.09,1.21,1.71,0,8,41.8,50.2,Silty Clay,19940101,20230920,,,,,,,,FAIR,Fairview,Fairview,36.26353,-98.49766,405,35.56752,-98.5444,35.149586,-98.468069,77.50715472,123.8937322,14,41,,,
127,FITT,Fittstown,Fittstown,6.3,SW,Pontotoc,34.55205,-96.71779,350,South Central,STANDARD,0.046,0.409,0.198,1.36,1.33,0,59,22.7,18.3,Sandy Loam,0.05,0.412,0.214,1.37,0.064,0.419,0.268,1.43,1.36,0,56.8,16.5,26.7,Sandy Clay Loam,0.107,0.349,0.063,1.15,1.73,0,48.1,1.9,50,Sandy Clay,0.093,0.365,0.051,1.19,1.76,0,57.1,0.6,42.3,Sandy Clay,20050512,20991231,,,,,,,,FITT,Fittstown,Fittstown,34.55205,-96.71779,350,35.56752,-98.5444,35.149586,-98.468069,200.9685489,172.9809575,80,68,,,
38,FORA,Foraker,Foraker,8,ESE,Osage,36.84053,-96.42777,330,Northeast,STANDARD,0.054,0.446,0.09,1.4,1.15,0,46.2,34.2,19.6,Loam,0.055,0.437,0.092,1.39,0.061,0.412,0.105,1.36,1.36,0,45.3,28.6,26.1,Loam,0.065,0.363,0.062,1.35,1.64,0,58.9,17.1,24,Sandy Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,FORA,Foraker,Foraker,36.84053,-96.42777,330,35.56752,-98.5444,35.149586,-98.468069,236.8533938,262.7501949,96,105,,,
39,FREE,Freedom,Freedom,3,SSW,Woodward,36.72562,-99.14234,530,North Central,STANDARD,0.061,0.434,0.117,1.37,1.2,0.1,17.3,59.9,22.7,Silt Loam,0.059,0.438,0.131,1.37,0.052,0.449,0.179,1.37,1.06,0,15.5,59.9,24.6,Silt Loam,0.085,0.418,0.213,1.4,1.31,0,17.8,50.6,31.6,Silty Clay Loam,0.086,0.396,0.158,1.33,1.44,0,10.5,53.6,35.9,Silty Clay Loam,19940101,20991231,,,,,,,,FREE,Freedom,Freedom,36.72562,-99.14234,530,35.56752,-98.5444,35.149586,-98.468069,139.5180231,185.4613689,52,74,,,
40,FTCB,Fort Cobb,Fort Cobb,4,NNW,Caddo,35.14887,-98.46607,422,Southwest,STANDARD,0.038,0.409,0.386,1.59,1.32,0,78.1,8.8,13.1,Sandy Loam,0.04,0.41,0.364,1.54,0.049,0.411,0.296,1.43,1.4,0,73,5,22,Sandy Clay Loam,0.043,0.336,0.244,1.39,1.73,0,77.4,3.8,18.9,Sandy Loam,0.036,0.285,0.226,1.36,1.93,0,79.3,6.9,13.8,Sandy Loam,19940101,20991231,,,,,,,,FTCB,Fort Cobb,Fort Cobb,35.14887,-98.46607,422,35.56752,-98.5444,35.149586,-98.468069,47.09058448,0.198420599,5,1,,,
41,GOOD,Goodwell,Goodwell,2,E,Texas,36.60183,-101.6013,997,Panhandle,STANDARD,0.07,0.414,0.131,1.33,1.37,0,36.6,34.6,28.8,Clay Loam,0.075,0.41,0.126,1.32,0.088,0.397,0.103,1.29,1.51,0,28.2,34,37.8,Clay Loam,0.078,0.441,0.316,1.73,1.19,0,34.8,29.4,35.8,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,GOOD,Goodwell,Goodwell,36.60183,-101.6013,997,35.56752,-98.5444,35.149586,-98.468069,297.7838614,325.1993149,117,129,,,
117,GRA2,Grandfield,Grandfield,3.3,W,Tillman,34.239444,-98.743583,341,Southwest,STANDARD,0.104,0.456,0.159,1.3,1.28,0,15.7,55.3,29,Silty Clay Loam,0.108,0.437,0.051,1.39,0.123,0.367,0.068,1.25,1.71,0,13.6,43.2,43.2,Silty Clay,0.12,0.34,0.071,1.23,1.8,0,16.9,41.9,41.2,Silty Clay,0.119,0.33,0.071,1.22,1.83,0,17.5,42.2,40.3,Silty Clay,19990401,20991231,,,,,,,,GRA2,Grandfield,Grandfield,34.239444,-98.743583,341,35.56752,-98.5444,35.149586,-98.468069,148.7880879,104.2905494,57,34,,,
42,GRAN,Grandfield,Grandfield,3,WNW,Tillman,34.2392,-98.7397,342,Southwest,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19990316,,,,,,,,GRAN,Grandfield,Grandfield,34.2392,-98.7397,342,35.56752,-98.5444,35.149586,-98.468069,148.7722186,104.2317409,56,33,,,
43,GUTH,Guthrie,Guthrie,4,WSW,Logan,35.84891,-97.47978,330,Central,STANDARD,0.059,0.347,0.089,1.34,1.65,0,47,28.4,24.6,Loam,0.065,0.349,0.08,1.33,0.086,0.358,0.059,1.29,1.67,0,19.7,44.6,35.7,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,GUTH,Guthrie,Guthrie,35.84891,-97.47978,330,35.56752,-98.5444,35.149586,-98.468069,101.0883452,118.5356542,29,37,,,
44,HASK,Haskell,Haskell,5,SSE,Muskogee,35.74798,-95.64047,183,East Central,STANDARD,0.079,0.394,0.011,2.06,1.56,0,10.1,74.2,15.7,Silt Loam,0.073,0.394,0.015,1.94,0.058,0.394,0.036,1.63,1.41,0,10.5,73.8,15.8,Silt Loam,0.082,0.407,0.067,1.37,1.44,0,6.6,61.8,31.6,Silty Clay Loam,0.132,0.394,0.038,1.18,1.61,0,3.5,50.2,46.3,Silty Clay,19940101,20991231,,,,,,,,HASK,Haskell,Haskell,35.74798,-95.64047,183,35.56752,-98.5444,35.149586,-98.468069,263.1189513,264.6232583,104,106,,,
113,HECT,Hectorville,Hectorville,4.1,W,Okmulgee,35.84162,-96.0024,243,East Central,STANDARD,0.046,0.362,0.066,1.45,1.51,0,52.5,33.6,13.9,Sandy Loam,0.042,0.375,0.103,1.4,0.041,0.426,0.317,1.44,1.22,0,67,20.2,12.8,Sandy Loam,0.05,0.375,0.29,1.47,1.52,0,63.3,13.9,22.8,Sandy Clay Loam,0.139,0.479,0.056,1.18,1.42,0,7.1,29.7,63.2,Clay,19960618,20991231,,,,,,,,HECT,Hectorville,Hectorville,35.84162,-96.0024,243,35.56752,-98.5444,35.149586,-98.468069,231.5361794,236.1009025,94,93,,,
45,HINT,Hinton,Hinton,7,W,Caddo,35.48439,-98.48151,493,Southwest,STANDARD,0.036,0.406,0.366,1.56,1.29,0.1,73,16.9,10,Sandy Loam,0.039,0.404,0.369,1.58,0.042,0.4,0.374,1.63,1.35,0.1,75.5,12.5,11.9,Sandy Loam,0.038,0.364,0.317,1.5,1.51,0.1,73,15,11.9,Sandy Loam,0.036,0.331,0.242,1.4,1.67,0,75,15.6,9.4,Sandy Loam,19940101,20991231,,,,,,,,HINT,Hinton,Hinton,35.48439,-98.48151,493,35.56752,-98.5444,35.149586,-98.468069,10.85521821,37.24847504,1,3,,,
46,HOBA,Hobart,Hobart,4,SE,Kiowa,34.98971,-99.05283,473,Southwest,CONTINUITY,0.075,0.429,0.079,1.38,1.31,0.1,11,63.5,25.4,Silt Loam,0.088,0.436,0.082,1.34,0.13,0.449,0.097,1.21,1.46,0,5.4,60.3,34.3,Silty Clay Loam,0.131,0.387,0.099,1.17,1.65,0,8.4,48.4,43.2,Silty Clay,0.144,0.384,0.155,1.2,1.63,0,8.5,48.3,43.2,Silty Clay,19940101,20991231,,,,,,,,HOBA,Hobart,Hobart,34.98971,-99.05283,473,35.56752,-98.5444,35.149586,-98.468069,79.10750434,56.10854206,15,10,,,
134,HOLD,Holdenville,Holdenville,3,ESE,Hughes,35.07073,-96.35595,280,East Central,STANDARD,0.078,0.394,0.032,1.51,1.5,0,26.1,49.6,24.3,Loam,0.078,0.391,0.034,1.5,0.077,0.385,0.038,1.46,1.53,0,24.9,50.2,24.9,Silt Loam,0.115,0.397,0.039,1.23,1.62,0,19.7,40,40.3,Silty Clay,0.12,0.409,0.035,1.24,1.59,0,17.2,39.8,43,Clay,20090529,20991231,,,,,,,,HOLD,Holdenville,Holdenville,35.07073,-96.35595,280,35.56752,-98.5444,35.149586,-98.468069,206.0913657,192.3205296,83,77,,,
47,HOLL,Hollis,Gould,3,W,Harmon,34.6855,-99.83331,497,Southwest,STANDARD,0.107,0.417,0.098,1.24,1.5,0,20.7,35.2,44.1,Clay,0.111,0.407,0.1,1.22,0.121,0.371,0.102,1.16,1.7,0,18.1,30.1,51.8,Clay,0.123,0.396,0.107,1.18,1.62,0,15.5,30.7,53.8,Clay,0.135,0.384,0.134,1.17,1.66,0.1,12.1,31.8,56,Clay,19940101,20991231,,,,,,,,HOLL,Hollis,Gould,34.6855,-99.83331,497,35.56752,-98.5444,35.149586,-98.468069,152.8346329,134.7498589,59,48,,,
48,HOOK,Hooker,Hooker,1,W,Texas,36.85518,-101.22547,912,Panhandle,STANDARD,0.059,0.376,0.124,1.35,1.48,0,36.4,38.8,24.8,Loam,0.067,0.372,0.119,1.33,0.091,0.355,0.099,1.23,1.7,0,35.1,29.5,35.4,Clay Loam,0.115,0.415,0.113,1.24,1.5,0,11,47.1,41.9,Silty Clay,0.146,0.463,0.137,1.19,1.41,0,7.5,48.2,44.3,Silty Clay,19940101,20991231,,,,,,,,HOOK,Hooker,Hooker,36.85518,-101.22547,912,35.56752,-98.5444,35.149586,-98.468069,279.9089129,312.2156161,112,125,,,
49,HUGO,Hugo,Hugo,2,NW,Choctaw,34.03084,-95.54011,175,Southeast,STANDARD,0.054,0.406,0.067,1.45,1.31,0,34.9,47,18.2,Loam,0.065,0.404,0.053,1.46,0.102,0.394,0.022,1.43,1.59,0,26.6,37.7,35.7,Clay Loam,0.134,0.422,0.091,1.24,1.59,0,14.4,29.6,56,Clay,0.138,0.452,0.106,1.15,1.48,0,15.5,27.1,57.4,Clay,19940101,20991231,,,,,,,,HUGO,Hugo,Hugo,34.03084,-95.54011,175,35.56752,-98.5444,35.149586,-98.468069,323.156667,295.4676216,127,118,,,
50,IDAB,Idabel,Idabel,5,SW,McCurtain,33.83013,-94.8803,110,Southeast,STANDARD,0.082,0.401,0.064,1.37,1.47,0.1,1.5,67.5,30.9,Silty Clay Loam,0.094,0.424,0.077,1.33,0.125,0.514,0.171,1.25,1.17,0,5,32.1,62.9,Clay,0.142,0.48,0.1,1.15,1.41,0,4.6,27.7,67.7,Clay,0.157,0.464,0.202,1.18,1.42,0,4.9,27.6,67.5,Clay,19940101,20991231,,,,,,,,IDAB,Idabel,Idabel,33.83013,-94.8803,110,35.56752,-98.5444,35.149586,-98.468069,386.6442146,360.0339213,143,140,,,
120,INOL,Inola,Inola,3.1,ESE,Rogers,36.14246,-95.45067,190,Northeast,STANDARD,0.072,0.406,0.043,1.47,1.42,0,33.4,48.2,18.4,Loam,0.076,0.423,0.058,1.41,0.092,0.486,0.138,1.3,1.14,0,20.7,37.5,41.9,Clay,0.139,0.451,0.034,1.2,1.45,0,5.6,21.7,72.8,Clay,0.128,0.43,0.111,1.18,1.52,0,18,28.6,53.4,Clay,20011201,20991231,,,,,,,,INOL,Inola,Inola,36.14246,-95.45067,190,35.56752,-98.5444,35.149586,-98.468069,286.0396168,294.140178,115,117,,,
51,JAYX,Jay,Jay,4,N,Delaware,36.4821,-94.78287,304,Northeast,STANDARD,0.071,0.383,0.017,1.86,1.56,0,7.4,74.5,18.1,Silt Loam,0.072,0.369,0.017,1.76,0.072,0.32,0.018,1.45,1.88,0,6.7,70.8,22.5,Silt Loam,0.134,0.466,0.05,1.23,1.42,0,4,44.3,51.8,Silty Clay,0.131,0.435,0.071,1.28,1.52,0.1,7.2,42.3,50.4,Silty Clay,19940101,20991231,,,,,,,,JAYX,Jay,Jay,36.4821,-94.78287,304,35.56752,-98.5444,35.149586,-98.468069,353.2024506,363.7902416,135,141,,,
52,KENT,Kenton,Kenton,5,SE,Cimarron,36.82937,-102.8782,1322,Panhandle,STANDARD,0.099,0.422,0.171,1.3,1.42,0.1,14.8,36.2,48.9,Clay,0.097,0.419,0.17,1.31,0.09,0.411,0.162,1.32,1.42,0,15.9,39.9,44.3,Clay,0.213,0.371,0.243,1.6,1.6,0,1.6,68.6,29.8,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,KENT,Kenton,Kenton,36.82937,-102.8782,1322,35.56752,-98.5444,35.149586,-98.468069,413.3680627,438.4838656,146,146,,,
53,KETC,Ketchum Ranch,Velma,7,NW,Stephens,34.52887,-97.76484,341,South Central,STANDARD,0.063,0.392,0.064,1.4,1.45,0,44.2,33.3,22.6,Loam,0.068,0.397,0.063,1.39,0.085,0.413,0.061,1.34,1.46,0,34.9,29.1,36,Clay Loam,0.116,0.39,0.057,1.18,1.66,0,20.5,27.4,52.1,Clay,0.098,0.369,0.045,1.22,1.71,0.1,37.2,19.6,43.1,Clay,19940101,20991231,,,,,,,,KETC,Ketchum Ranch,Velma,34.52887,-97.76484,341,35.56752,-98.5444,35.149586,-98.468069,135.5513909,94.2482402,50,26,,,
133,KIN2,Kingfisher,Kingfisher,1,W,Kingfisher,35.85431,-97.95442,323,Central,STANDARD,0.041,0.348,0.165,1.37,1.57,0,54.7,26.4,18.9,Sandy Loam,0.043,0.349,0.161,1.37,0.047,0.354,0.153,1.36,1.59,0.1,52.7,21.4,25.8,Sandy Clay Loam,0.104,0.359,0.143,1.26,1.65,0,2.9,58.8,38.3,Silty Clay Loam,0.086,0.372,0.099,1.3,1.59,0,0.5,65.9,33.6,Silty Clay Loam,20090306,20991231,,,,,,,,KIN2,Kingfisher,Kingfisher,35.85431,-97.95442,323,35.56752,-98.5444,35.149586,-98.468069,62.08352878,91.11793633,8,23,,,
54,KING,Kingfisher,Kingfisher,2,NE,Kingfisher,35.8805,-97.91121,319,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20090305,,,,,,,,KING,Kingfisher,Kingfisher,35.8805,-97.91121,319,35.56752,-98.5444,35.149586,-98.468069,66.92045918,95.63246629,11,28,,,
55,LAHO,Lahoma,Lahoma,1,WSW,Major,36.384358,-98.11145,396,North Central,CONTINUITY,0.056,0.395,0.076,1.43,1.37,0,21.3,59.8,18.9,Silt Loam,0.062,0.398,0.081,1.4,0.083,0.405,0.096,1.32,1.44,0,13.2,53.9,33,Silty Clay Loam,0.097,0.371,0.11,1.26,1.62,0,12.6,51.3,36.1,Silty Clay Loam,0.093,0.391,0.103,1.29,1.53,0,8,57.3,34.7,Silty Clay Loam,19940101,20991231,,,,,,,,LAHO,Lahoma,Lahoma,36.384358,-98.11145,396,35.56752,-98.5444,35.149586,-98.468069,98.83086207,141.0196876,28,51,,,
56,LANE,Lane,Lane,1,WNW,Atoka,34.30876,-95.99716,181,South Central,STANDARD,0.042,0.389,0.061,1.52,1.3,0,37.8,51.5,10.7,Silt Loam,0.04,0.38,0.068,1.5,0.028,0.354,0.096,1.44,1.45,0,46.8,41.3,11.9,Loam,0.032,0.345,0.088,1.44,1.51,0,48,41.4,10.7,Loam,0.069,0.353,0.032,1.45,1.68,0,42.2,39,18.9,Loam,19940101,20991231,,,,,,,,LANE,Lane,Lane,34.30876,-95.99716,181,35.56752,-98.5444,35.149586,-98.468069,271.1011713,244.3873981,107,97,,,
57,MADI,Madill,Lebanon,4.5,NNW,Marshall,34.03579,-96.94394,232,South Central,STANDARD,0.034,0.351,0.113,1.41,1.49,0,57.5,37.5,5,Sandy Loam,0.033,0.349,0.135,1.4,0.029,0.342,0.22,1.41,1.52,0,56.2,37.5,6.3,Sandy Loam,0.067,0.343,0.153,1.31,1.68,0,48.4,30.2,21.4,Loam,0.068,0.34,0.135,1.31,1.68,0,33.5,45.2,21.3,Loam,19940101,20991231,,,,,,,,MADI,Madill,Lebanon,34.03579,-96.94394,232,35.56752,-98.5444,35.149586,-98.468069,224.4100907,186.5493092,89,75,,,
58,MANG,Mangum,Mangum,5,SE,Greer,34.83592,-99.42398,460,Southwest,STANDARD,0.017,0.363,0.407,1.66,1.52,0,88.7,5,6.3,Sand,0.018,0.358,0.412,1.7,0.02,0.342,0.422,1.8,1.63,0,90.3,4.7,5,Sand,0.03,0.33,0.415,1.79,1.7,0,88.3,4.2,7.5,Loamy Sand,0.03,0.346,0.42,1.9,1.61,0,86.6,6.3,7.1,Loamy Sand,19940101,20991231,,,,,,,,MANG,Mangum,Mangum,34.83592,-99.42398,460,35.56752,-98.5444,35.149586,-98.468069,114.0379299,93.80216981,37,25,,,
59,MARE,Marena,Coyle,7,N,Payne,36.06434,-97.21271,327,Central,STANDARD,0.074,0.363,0.041,1.4,1.63,0,38.6,35.2,26.3,Loam,0.073,0.369,0.047,1.39,0.072,0.389,0.065,1.36,1.51,0,42.3,32,25.7,Loam,0.09,0.37,0.078,1.24,1.66,0,40.3,24.6,35.1,Clay Loam,0.08,0.342,0.078,1.26,1.73,0,38,31,31,Clay Loam,19940101,20991231,,,,,,,,MARE,Marena,Coyle,36.06434,-97.21271,327,35.56752,-98.5444,35.149586,-98.468069,132.1728575,152.3987163,45,52,,,
60,MARS,Marshall,Marshall,3,SSE,Logan,36.1186,-97.6014,315,Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20030923,,,,,,,,MARS,Marshall,Marshall,36.1186,-97.6014,315,35.56752,-98.5444,35.149586,-98.468069,104.7836578,133.207558,33,46,,,
61,MAYR,May Ranch,Freedom,16,NNE,Woods,36.98707,-99.01109,555,North Central,STANDARD,0.054,0.355,0.063,1.42,1.58,0,44.2,34.3,21.6,Loam,0.056,0.362,0.06,1.42,0.063,0.386,0.052,1.44,1.47,0,41.9,32.6,25.5,Loam,0.121,0.408,0.09,1.2,1.56,0,14.3,41.6,44.2,Silty Clay,0.113,0.399,0.092,1.22,1.57,0,17,41.5,41.5,Silty Clay,19940101,20991231,,,,,,,,MAYR,May Ranch,Freedom,36.98707,-99.01109,555,35.56752,-98.5444,35.149586,-98.468069,163.2957444,210.0661902,64,87,,,
62,MCAL,McAlester,McAlester,4,S,Pittsburg,34.88231,-95.78096,230,East Central,STANDARD,0.028,0.391,0.306,1.45,1.32,0,66.2,25,8.8,Sandy Loam,0.047,0.397,0.235,1.4,0.111,0.419,0.11,1.22,1.51,0,29.5,27.3,43.2,Clay,0.088,0.368,0.099,1.22,1.7,0,53.6,10.8,35.6,Sandy Clay,0.08,0.361,0.123,1.25,1.7,0,58.3,10.1,31.6,Sandy Clay Loam,19940101,20991231,,,,,,,,MCAL,McAlester,McAlester,34.88231,-95.78096,230,35.56752,-98.5444,35.149586,-98.468069,262.313022,246.4993304,102,99,,,
63,MEDF,Medford,Medford,1,SW,Grant,36.792408,-97.745825,332,North Central,STANDARD,0.064,0.428,0.04,1.59,1.25,0,15.9,66.4,17.7,Silt Loam,0.069,0.424,0.044,1.53,0.085,0.409,0.063,1.36,1.46,0,13,60.8,26.2,Silt Loam,0.186,0.429,0.142,1.13,1.55,0,4.5,45.1,50.4,Silty Clay,0.13,0.384,0.067,1.25,1.68,0,6.4,45.5,48.1,Silty Clay,19940101,20991231,,,,,,,,MEDF,Medford,Medford,36.792408,-97.745825,332,35.56752,-98.5444,35.149586,-98.468069,153.9073792,193.8899244,61,78,,,
64,MEDI,Medicine Park,Medicine Park,3,W,Comanche,34.72921,-98.56936,487,Southwest,STANDARD,0.051,0.337,0.086,1.35,1.7,0,63.6,18.9,17.6,Sandy Loam,0.05,0.345,0.112,1.34,0.049,0.374,0.226,1.37,1.57,0.1,76.2,5.6,18.1,Sandy Loam,0.094,0.374,0.04,1.22,1.72,0,58.3,5.7,36.1,Sandy Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,MEDI,Medicine Park,Medicine Park,34.72921,-98.56936,487,35.56752,-98.5444,35.149586,-98.468069,93.24343781,47.64680834,24,4,,,
65,MIAM,Miami,Miami,2,NE,Ottawa,36.88832,-94.84437,247,Northeast,STANDARD,0.053,0.413,0.038,1.65,1.2,0,15.6,60.5,23.9,Silt Loam,0.052,0.402,0.038,1.65,0.048,0.373,0.043,1.6,1.43,0,23.4,62.2,14.4,Silt Loam,0.142,0.491,0.037,1.22,1.38,0,9.5,28,62.5,Clay,0.14,0.431,0.029,1.22,1.51,0,3.8,41,55.3,Silty Clay,19940101,20991231,,,,,,,,MIAM,Miami,Miami,36.88832,-94.84437,247,35.56752,-98.5444,35.149586,-98.468069,362.8927444,378.893306,139,144,,,
66,MINC,Minco,Minco,2,SSW,Grady,35.27225,-97.95553,430,Central,STANDARD,0.064,0.382,0.058,1.43,1.5,0,18.7,61.1,20.2,Silt Loam,0.064,0.378,0.055,1.44,0.064,0.369,0.045,1.47,1.59,0,14.1,68.2,17.7,Silt Loam,0.064,0.306,0.044,1.3,1.93,0,12.6,74.2,13.2,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231,,,,,,,,MINC,Minco,Minco,35.27225,-97.95553,430,35.56752,-98.5444,35.149586,-98.468069,62.65248254,48.52072956,9,5,,,
125,MRSH,Marshall,Marshall,4,SSE,Logan,36.116917,-97.606844,311,Central,STANDARD,0.073,0.427,0.031,1.63,1.32,0.1,19.9,63,17,Silt Loam,0.085,0.437,0.035,1.53,0.121,0.462,0.061,1.28,1.38,0,8.3,52.9,38.8,Silty Clay Loam,0.13,0.393,0.088,1.16,1.64,0,11.4,47.8,40.8,Silty Clay,0.141,0.384,0.109,1.15,1.67,0,13,47.6,39.4,Silty Clay Loam,20030925,20991231,,,,,,,,MRSH,Marshall,Marshall,36.116917,-97.606844,311,35.56752,-98.5444,35.149586,-98.468069,104.2769936,132.7677129,31,45,,,
67,MTHE,Mt Herman,Smithville,16,SW,McCurtain,34.31072,-94.82275,284,Southeast,STANDARD,0.042,0.371,0.106,1.4,1.44,0,46.6,44,9.4,Loam,0.041,0.356,0.099,1.41,0.034,0.315,0.084,1.44,1.68,0,44.2,46.4,9.4,Loam,0.073,0.354,0.093,1.3,1.65,0,36.3,37.2,26.5,Loam,0.075,0.353,0.091,1.29,1.66,0,36.9,34.7,28.4,Clay Loam,19940101,20241211,,,,,,,,MTHE,Mt Herman,Smithville,34.31072,-94.82275,284,35.56752,-98.5444,35.149586,-98.468069,366.864436,345.9153767,140,136,,,
